,id_dict_key,dev_or_cook_indic,ip,freq_count,idxcip_c1,idxcip_c2,idxcip_c3,idxcip_c4,idxcip_c5,index,drawbridge_handle
0,id_85107,1,['ip20288984'],['1'],['0'],['1'],['1'],['0'],['1'],2099700,handle_2038552
1,id_4391583,1,['ip3384628'],['1'],['0'],['1'],['1'],['1'],['1'],1723700,handle_250430
2,id_4708279,1,['ip21003511'],['1'],['0'],['0'],['1'],['1'],['0'],1885200,handle_38615
3,id_3022375,1,['ip14990805'],['1'],['0'],['0'],['1'],['0'],['0'],1028300,handle_1871932
4,id_2154467,1,['ip15247134'],['2'],['0'],['2'],['1'],['0'],['1'],587390,handle_490981
5,id_643560,1,['ip5691489'],['1'],['0'],['1'],['1'],['0'],['1'],1994000,handle_2026804
6,id_2201067,1,['ip10777266'],['2'],['0'],['2'],['1'],['0'],['1'],611060,handle_1760742
7,id_483246,1,"['ip3861692', 'ip7435016']","['1', '1']","['0', '0']","['1', '0']","['1', '1']","['0', '0']","['1', '0']",1912500,handle_1286512
8,id_2511813,1,['ip11628905'],['1'],['1'],['0'],['1'],['1'],['0'],768960,-1
9,id_3248156,1,['ip13940618'],['2'],['0'],['2'],['1'],['0'],['1'],1142900,handle_440153
10,id_1495688,1,"['ip9765645', 'ip20137175']","['1', '2']","['0', '0']","['1', '2']","['2', '2']","['0', '0']","['1', '1']",252180,handle_1957335
11,id_3196839,1,"['ip1929784', 'ip10867662']","['1', '2']","['0', '0']","['1', '0']","['1', '1']","['0', '0']","['1', '0']",1116900,handle_649154
12,id_4350295,1,['ip2878315'],['2'],['0'],['0'],['1'],['0'],['0'],1702600,handle_976439
13,id_964101,1,['ip4430722'],['1'],['0'],['0'],['1'],['0'],['0'],2157200,handle_18650
14,id_4192195,1,['ip8033103'],['1'],['0'],['0'],['1'],['0'],['0'],1622700,handle_527023
15,id_3925811,1,['ip3050119'],['1'],['0'],['0'],['1'],['0'],['0'],1487100,handle_1750962
16,id_3181344,1,['ip13631012'],['3'],['0'],['3'],['1'],['0'],['1'],1109100,handle_1590132
17,id_2536078,1,['ip4511810'],['1'],['0'],['1'],['1'],['0'],['1'],781380,handle_187725
18,id_2106385,1,"['ip3349128', 'ip18993533']","['2', '1']","['0', '0']","['0', '1']","['1', '1']","['0', '0']","['0', '1']",562590,handle_2082709
19,id_1782585,1,['ip14302668'],['1'],['0'],['1'],['1'],['0'],['1'],397970,handle_1443032
20,id_94967,1,['ip3089867'],['1'],['0'],['1'],['1'],['0'],['1'],2149800,handle_980598
21,id_3964520,1,['ip3319956'],['3'],['0'],['3'],['1'],['0'],['1'],1506800,handle_1210445
22,id_2551687,1,['ip16627405'],['1'],['0'],['1'],['3'],['0'],['1'],789320,handle_1595302
23,id_1854813,1,['ip17823070'],['1'],['0'],['1'],['1'],['0'],['1'],434720,handle_1316245
24,id_695606,1,['ip5000668'],['1'],['0'],['1'],['1'],['0'],['1'],2020500,handle_1160492
25,id_3289012,1,['ip6594300'],['1'],['0'],['1'],['1'],['0'],['1'],1163700,handle_2007771
26,id_1594641,1,['ip12170079'],['2'],['0'],['2'],['2'],['0'],['1'],302400,handle_1460524
27,id_4147843,1,['ip2186676'],['1'],['0'],['0'],['1'],['0'],['0'],1600200,handle_1326098
28,id_4369874,1,['ip2196379'],['7'],['0'],['6'],['2'],['0'],['2'],1712700,handle_1690951
29,id_4085667,1,['ip6635072'],['1'],['0'],['1'],['1'],['0'],['1'],1568400,handle_5240
30,id_1004457,1,['ip4423647'],['2'],['0'],['2'],['1'],['0'],['1'],2304,handle_167323
31,id_4531315,1,['ip4859812'],['1'],['0'],['0'],['1'],['0'],['0'],1794800,handle_37591
32,id_2280422,1,"['ip12817101', 'ip15704429', 'ip2871059']","['16', '5', '2']","['1', '0', '0']","['14', '5', '2']","['6', '1', '1']","['1', '0', '0']","['4', '1', '1']",651350,-1
33,id_3768135,1,['ip9161538'],['2'],['0'],['2'],['1'],['0'],['1'],1407100,handle_1316193
34,id_1600341,1,['ip2313880'],['2'],['0'],['0'],['1'],['0'],['0'],305380,handle_1487838
35,id_1575374,1,['ip4701436'],['3'],['0'],['3'],['1'],['0'],['1'],292610,handle_163119
36,id_167354,1,['ip4098567'],['2'],['0'],['2'],['2'],['0'],['2'],342490,handle_436452
37,id_4046065,1,"['ip10579290', 'ip16091511', 'ip17094686', 'ip3639805', 'ip4279860', 'ip10308548', 'ip20345502', 'ip19772114']","['15', '1', '1', '1', '1', '2', '3', '1']","['10', '1', '0', '1', '0', '0', '3', '0']","['6', '1', '1', '1', '1', '0', '3', '1']","['8', '1', '1', '1', '1', '1', '1', '1']","['5', '1', '0', '1', '0', '0', '1', '0']","['3', '1', '1', '1', '1', '0', '1', '1']",1548300,handle_2095031
38,id_3437256,1,['ip19837015'],['1'],['0'],['1'],['1'],['0'],['1'],1239100,handle_1884827
39,id_3643766,1,['ip3657555'],['1'],['0'],['1'],['1'],['0'],['1'],1343600,handle_589365
40,id_797380,1,['ip13318677'],['1'],['0'],['1'],['1'],['0'],['1'],2072300,handle_1575059
41,id_2560094,1,['ip21050452'],['1'],['0'],['1'],['1'],['1'],['1'],793580,handle_859145
42,id_3948675,1,['ip2773033'],['1'],['0'],['0'],['1'],['0'],['0'],1498700,-1
43,id_4196038,1,['ip20703141'],['1'],['0'],['0'],['1'],['0'],['0'],1624600,handle_787152
44,id_1182507,1,['ip1280294'],['2'],['0'],['2'],['1'],['0'],['1'],92965,handle_457873
45,id_3680277,1,['ip7115681'],['1'],['0'],['0'],['1'],['0'],['0'],1362300,handle_6272
46,id_1629632,1,['ip11507387'],['5'],['0'],['0'],['1'],['0'],['0'],320240,handle_733610
47,id_757478,1,['ip7166734'],['1'],['0'],['1'],['1'],['0'],['1'],2051900,handle_1571514
48,id_937805,1,['ip20999839'],['1'],['0'],['1'],['1'],['0'],['1'],2143800,handle_738734
49,id_3657035,1,['ip2919211'],['2'],['0'],['0'],['1'],['0'],['0'],1350400,handle_704550
50,id_2312843,1,['ip4123236'],['1'],['0'],['1'],['1'],['0'],['1'],667800,handle_655716
51,id_1916096,1,"['ip12224590', 'ip5336437', 'ip11567268']","['25', '9', '4']","['6', '0', '0']","['10', '6', '0']","['29', '3', '2']","['4', '1', '0']","['6', '1', '0']",465910,handle_1767295
52,id_4468248,1,['ip14974870'],['1'],['0'],['1'],['1'],['0'],['1'],1762700,handle_1887659
53,id_629735,1,['ip8561367'],['2'],['0'],['2'],['1'],['0'],['1'],1987000,handle_516382
54,id_2149596,1,['ip9631331'],['5'],['0'],['5'],['2'],['0'],['2'],584860,handle_1190647
55,id_4299159,1,"['ip4127810', 'ip11192920']","['1', '1']","['0', '0']","['0', '0']","['1', '1']","['1', '1']","['0', '0']",1676700,handle_467450
56,id_1770854,1,['ip2586762'],['1'],['0'],['1'],['1'],['0'],['1'],391910,handle_384608
57,id_3225979,1,['ip5930100'],['1'],['0'],['1'],['1'],['0'],['1'],1131700,handle_1530411
58,id_1607941,1,['ip1954829'],['1'],['0'],['0'],['2'],['0'],['0'],309210,handle_2004176
59,id_3367936,1,['ip2046563'],['1'],['0'],['1'],['1'],['0'],['1'],1203700,handle_925199
60,id_3505343,1,['ip21026132'],['1'],['0'],['1'],['1'],['0'],['1'],1273300,handle_145359
61,id_1402510,1,['ip3173833'],['1'],['0'],['0'],['1'],['0'],['0'],205010,handle_84326
62,id_3251204,1,['ip15756809'],['1'],['0'],['1'],['1'],['0'],['1'],1144400,handle_506083
63,id_1510950,1,['ip10283206'],['1'],['0'],['1'],['1'],['0'],['1'],260030,handle_1116877
64,id_2152695,1,['ip14426033'],['1'],['0'],['1'],['1'],['0'],['1'],586450,handle_1157579
