IDX,DrawBridge_Handle,Cookie_Id
2304,handle_167323,id_1004457
9444,handle_2076129,id_1018455
14838,handle_1955280,id_1029064
14963,handle_626046,id_1029309
15540,handle_875563,id_103047
17263,handle_1943137,id_1033707
19645,handle_855423,id_1038440
27685,handle_1384658,id_1054367
33203,handle_2004848,id_106525
33220,handle_438936,id_1065284
46597,handle_537246,id_1091521
48414,handle_1131665,id_1095218
48552,handle_707164,id_1095469
49917,handle_12611,id_1098190
56558,handle_1659723,id_1110950
57228,handle_1348584,id_1112246
57862,handle_97835,id_1113432
59441,handle_438351,id_1116504
59812,handle_219608,id_1117282
69385,handle_1010153,id_1136179
70565,handle_1735748,id_1138558
74115,handle_1700841,id_1145477
75525,handle_1022158,id_1148289
77534,handle_1873923,id_1152206
82196,handle_741776,id_1161546
92965,handle_457873,id_1182507
95558,handle_760235,id_1187561
97275,handle_864863,id_1190952
99909,handle_712857,id_1196006
101810,handle_1502958,id_1199668
105940,handle_563001,id_1207818
106970,handle_511612,id_120993
121340,handle_205734,id_1238085
130710,handle_346018,id_1256374
141830,handle_1292839,id_1278264
143770,handle_877982,id_1282090
154740,handle_947634,id_1303784
156430,handle_179706,id_130703
158480,handle_1398433,id_1311005
164150,handle_916889,id_132239
178380,handle_362387,id_1350367
180300,handle_1883383,id_1354105
180780,handle_1573606,id_1355051
196400,handle_115287,id_138563
198920,handle_635816,id_1390625
205010,handle_84326,id_1402510
207140,handle_1336981,id_1406646
207240,handle_1336336,id_1406844
207990,handle_881242,id_1408377
208390,handle_740007,id_1409222
209150,handle_153595,id_1410653
212140,handle_1989148,id_1416668
217080,handle_1759100,id_1426486
231040,handle_1202658,id_1453993
243790,handle_1303471,id_1479025
245320,handle_1670022,id_1482119
252180,handle_1957335,id_1495688
260030,handle_1116877,id_1510950
261400,handle_150385,id_1513598
261500,handle_1605801,id_15138
275140,handle_395612,id_1540774
277710,handle_486255,id_1545815
278980,handle_545573,id_1548392
292610,handle_163119,id_1575374
294310,handle_660136,id_1578784
297350,handle_865013,id_1584798
298840,-1,id_158777
299820,handle_1901914,id_1589605
302400,handle_1460524,id_1594641
304060,handle_280401,id_1597821
305380,handle_1487838,id_1600341
309210,handle_2004176,id_1607941
312960,handle_93539,id_1615222
314370,handle_238767,id_1617997
317930,handle_1138338,id_1625002
320240,handle_733610,id_1629632
323760,handle_339898,id_1636544
327000,handle_1463982,id_1642845
331770,handle_1315109,id_1652220
342490,handle_436452,id_167354
343320,handle_1386346,id_1675183
345180,handle_1137753,id_1678808
364770,handle_1279975,id_1717491
371420,handle_1892629,id_1730626
375540,handle_518086,id_1738643
377210,handle_1836013,id_1741940
383820,handle_791234,id_1755056
383920,handle_1571785,id_1755224
384820,handle_1724136,id_1756986
388870,handle_786410,id_1764954
389400,handle_975936,id_1765975
391910,handle_384608,id_1770854
397970,handle_1443032,id_1782585
405640,handle_95861,id_1797611
407520,handle_1601110,id_1801230
410250,handle_1144572,id_18067
411220,handle_793563,id_1808610
412170,handle_618209,id_1810449
416200,handle_302102,id_1818321
418820,handle_1596764,id_1823371
419670,handle_1826520,id_1824994
420810,handle_761426,id_1827298
427810,handle_77357,id_1840990
428980,handle_452485,id_1843321
434720,handle_1316245,id_1854813
438800,handle_922559,id_1862923
441670,handle_1020183,id_1868520
442110,handle_1655530,id_1869363
443110,handle_1286075,id_187130
443330,handle_804240,id_1871733
446020,handle_1098570,id_1877076
450100,handle_1021074,id_1885151
453880,handle_1986699,id_1892695
457500,handle_1872246,id_1899789
463340,handle_1873566,id_1911190
465010,handle_772677,id_1914355
465910,handle_1767295,id_1916096
466210,handle_113789,id_1916678
474930,handle_1042195,id_1933748
480480,handle_1354952,id_1944747
481870,handle_105408,id_1947373
486090,handle_1646148,id_1955538
492100,handle_258616,id_1967493
502510,handle_682099,id_1987907
510310,handle_583621,id_2003310
515480,handle_1269601,id_2013479
517900,handle_14827,id_2018197
520120,handle_1852544,id_2022599
523820,handle_1213283,id_2029753
534160,handle_1169058,id_2050305
537500,handle_1560203,id_2056783
542050,handle_1412238,id_2065901
547720,handle_594370,id_2077042
548790,handle_635741,id_2079071
551270,handle_167095,id_2083998
552000,handle_628792,id_2085389
557450,handle_914117,id_2096221
562590,handle_2082709,id_2106385
566140,handle_1200369,id_2113238
566140,handle_1123622,id_2113239
567840,handle_1180122,id_2116510
568760,handle_642541,id_211825
573770,-1,id_2127957
574020,handle_99754,id_2128440
578860,handle_1145736,id_2137917
580980,handle_147801,id_2141961
581160,handle_509874,id_2142335
